Date,Category,Value,Product,Sales,Region
2023-01-01,A,28,Product1,754,East
2023-01-02,B,39,Product3,110,North
2023-01-03,C,32,Product2,398,East
2023-01-04,B,8,Product1,522,East
2023-01-05,B,26,Product3,869,North
2023-01-06,B,54,Product3,192,West
2023-01-07,A,16,Product1,936,East
2023-01-08,C,89,Product1,488,West
2023-01-09,C,37,Product3,772,West
2023-01-10,A,22,Product2,834,West
2023-01-11,B,7,Product1,842,North
2023-01-12,B,60,Product2,,West
2023-01-13,A,70,Product3,628,South
2023-01-14,A,69,Product1,423,East
2023-01-15,A,47,Product2,893,West
2023-01-16,C,,Product1,895,North
2023-01-17,C,93,Product2,511,South
2023-01-18,C,,Product1,108,West
2023-01-19,A,31,Product2,578,West
2023-01-20,A,59,Product1,736,East
2023-01-21,C,82,Product3,606,South
2023-01-22,C,37,Product2,992,South
2023-01-23,B,62,Product3,942,North
2023-01-24,C,92,Product2,342,West
2023-01-25,A,24,Product2,458,East
2023-01-26,C,95,Product1,584,West
2023-01-27,C,71,Product2,619,North
2023-01-28,C,56,Product2,224,North
2023-01-29,B,,Product3,617,North
2023-01-30,C,51,Product2,737,South
2023-01-31,B,50,Product3,735,West
2023-02-01,A,17,Product2,189,West
2023-02-02,B,63,Product3,338,South
2023-02-03,C,27,Product3,,East
2023-02-04,C,70,Product3,669,West
2023-02-05,B,60,Product2,,West
2023-02-06,C,36,Product3,177,East
2023-02-07,C,2,Product1,,North
2023-02-08,C,94,Product1,408,South
2023-02-09,A,62,Product1,155,West
2023-02-10,B,15,Product1,578,East
2023-02-11,C,97,Product1,256,East
2023-02-12,A,93,Product3,164,West
2023-02-13,A,43,Product3,949,East
2023-02-14,A,96,Product3,830,East
2023-02-15,B,99,Product2,599,West
2023-02-16,B,6,Product1,938,South
2023-02-17,B,69,Product3,143,West
2023-02-18,C,65,Product3,182,North
2023-02-19,C,11,Product3,708,North
